i,benchmark,target,total_iterations,threads,pings,runtime_version,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,pieces,workers,left,right,messages,actors,columns,simulations,channels
0,BankingReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
1,ProdConsBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
2,ProdConsBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
3,CigaretteSmokerReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
4,DictionaryReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
5,LogisticMapReactorLFCppBenchmark,LF-Cpp,12,1,,master,211.284,252.538,233.328,233.328,,,,,,,,,
6,PhilosopherReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
7,SleepingBarberReactorLFCppBenchmark,LF-Cpp,12,1,,master,127.676,150.958,129.965,129.965,,,,,,,,,
8,SortedListBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
9,BigReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
10,ChameneosReactorLFCppBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
11,CountingBenchmark,LF-Cpp,12,1,,master,502.774,506.935,503.653,503.653,,,,,,,,,
12,PingPongBenchmark,LF-Cpp,12,1,,master,652.984,691.301,667.818,667.818,,,,,,,,,
13,ThreadRingBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
14,ThroughputBenchmark,LF-Cpp,12,1,,master,174.391,178.969,176.162,176.162,,,,,,,,,
15,ApspBenchmark,LF-Cpp,12,1,,master,119.735,121.838,120.266,120.266,,,,,,,,,
16,FilterBankBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
17,GuidedSearchBenchmark,LF-Cpp,12,1,,master,223.688,255.18,230.995,230.995,,,,,,,,,
18,MatMulBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
19,NQueensKSolutionsBenchmark,LF-Cpp,12,1,,master,171.085,180.885,178.306,178.306,,,,,,,,,
20,PiPrecisionBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
21,RadixSortBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
22,TrapezoidalBenchmark,LF-Cpp,12,1,,master,0,0,0,0,,,,,,,,,
